"answer_id","question_id","answer_text","is_correct"
"28","7","Ключ `[]` будет интерпретирован как `None`, и `'value'` окажется под ключом `None`","False"
"29","8","Будут выведены только значения, возвращённые через `yield`, то есть `1` и `2`. `return 3` завершает генератор и поднимает `StopIteration`, но значение 3 не будет выведено","True"
"30","8","Будут выведены `1`, `2`, а затем `3`, потому что `return` также считается частью итерации генератора и возвращает значение как последний элемент","False"
"31","8","Цикл `for` выведет только `1`, потому что `yield` может быть использован только один раз на итерацию, остальные значения будут проигнорированы","False"
"32","8","Генератор с `return` не может быть использован в `for`-цикле и вызовет синтаксическую ошибку из-за смешивания `yield` и `return`","False"
"33","9","Функция вернёт `[1, 2]`, так как изменяемые (mutable) типы данных, используемые как аргументы по умолчанию, создаются один раз при определении функции, а не при каждом её вызове, поэтому список `my_list` сохраняет своё состояние между вызовами","True"
"34","9","Результатом будет `[2]`, поскольку стандартное поведение Python подразумевает, что аргументы по умолчанию инициализируются заново при каждом входе в область видимости функции, гарантируя изоляцию вызовов","False"
"35","9","Код вызовет `TypeError` во время определения функции, так как синтаксис Python запрещает использование изменяемых коллекций, таких как list или dict, в качестве значений по умолчанию во избежание подобных неоднозначных поведений","False"
"36","9","Функция вернёт `None`, потому что метод `append` модифицирует список ""in-place"" и сам по себе возвращает `None`, а инструкция `return` в данном случае вернёт результат работы этого метода","False"
"37","10","Вызов функции process_data([1, 'hello', -3, 5.0, 'world']) вернет список [2, 'HELLO', None, None, 'WORLD'], так как функция обрабатывает положительные целые числа умножением на 2, строки приводятся к верхнему регистру, а остальные типы данных заменяются на None, включая отрицательные числа и числа с плавающей точкой","True"
"38","10","Результатом будет [2, 'HELLO', -6, 10.0, 'WORLD'], потому что функция преобразует все числовые значения, а строки переводит в верхний регистр, не учитывая при этом тип данных int или float для числовых значений","False"
"39","10","Функция выдаст ошибку TypeError, поскольку в списке смешанные типы данных, что Python не может автоматически преобразовать при выполнении операций умножения и upper()","False"
"40","10","Результат будет [2, 'HELLO', None, 10.0, 'WORLD'], так как отрицательные числа игнорируются, но числа с плавающей точкой обрабатываются аналогично целым, а строки преобразуются в верхний регистр","False"
"41","11","В Python списки передаются в функции по ссылке. Операция `append('processed')` модифицирует исходный список `my_data`, добавляя в него элемент. Однако последующее переприсваивание `data_list = ['new', 'list']` внутри функции создаёт новую локальную переменную `data_list`, которая указывает на совершенно другой объект-список, и это никак не влияет на внешний список `my_data`. Таким образом, при вызове `print(my_data)` будет выведен `['initial', 'processed']`","True"
"42","11","Результатом будет `['new', 'list']`, поскольку в Python списки ведут себя как изменяемые объекты, и любое изменение внутри функции, включая полное переприсваивание, должно отражаться на исходном списке, который передавался в функцию. Это демонстрирует особенности передачи аргументов по ссылке в Python, где изменения внутри функции распространяются на внешний скоуп","False"
"43","11","Код приведёт к ошибке типа или выполнится некорректно, так как попытка изменить список внутри функции с последующим его переприсваиванием создаёт конфликт в управлении памятью Python. Списки, будучи изменяемыми, требуют явного возврата изменённого объекта, если требуется полностью заменить его содержимое, а не только модифицировать. Без явного возврата оригинальный список останется неизменным","False"
"44","11","Будет выведен `['initial']`, потому что присваивание `data_list = ['new', 'list']` фактически отменяет предыдущее изменение `append('processed')`. Python всегда создаёт локальные копии изменяемых объектов при их модификации внутри функции, чтобы избежать нежелательных побочных эффектов. Таким образом, исходный список `my_data` остаётся неизменным на протяжении всего выполнения программы","False"
"45","12","Python кортежи являются неизменяемыми, но их элементы могут быть изменяемыми. В данном случае, `t[0]` ссылается на список, который является изменяемым объектом. Операция `t[0].append(4)` изменяет этот список на месте, и это изменение отражается в `my_tuple`. Однако, последующее присваивание `t = (1, 2, 3)` создаёт новую локальную ссылку `t` на совершенно другой кортеж, не затрагивая исходный `my_tuple`. Поэтому, в итоге будет выведено `([1, 2, 3, 4], 'a', 'b')`","True"
"46","12","Код вызовет ошибку `TypeError`, потому что кортежи неизменяемы, и попытка модифицировать элемент кортежа через `append` или изменить сам кортеж путём присваивания приведёт к исключению. Python строго контролирует возможность изменения неизменяемых типов данных, и подобные операции считаются недопустимыми","False"
"47","12","Будет выведено `(1, 2, 3)`, поскольку присваивание `t = (1, 2, 3)` внутри функции `update_tuple_with_list` полностью заменяет содержимое переданного кортежа. В Python, даже если элементы кортежа изменяемы, любое переприсваивание внутри функции создаёт новый объект, и он становится значением внешней переменной `my_tuple`","False"
"48","12","Будет выведено `([1, 2, 3], 'a', 'b')`, так как функция `update_tuple_with_list` не может изменить `my_tuple`. Хотя список внутри кортежа изменяем, все операции внутри функции выполняются над локальной копией кортежа. Python создаёт новую копию объекта при передаче в функцию, чтобы избежать нежелательных побочных эффектов. Поэтому исходный кортеж `my_tuple` остаётся неизменным","False"
"49","13","Будет выведено `10`, так как `x` ищется по правилу LEGB и найден в глобальной области, поскольку в `func` нет локального `x`","True"
"50","13","Будет выведено `None`, потому что функция `func` не определяет `x`, а глобальный контекст не учитывается в таких случаях","False"
"51","13","Код вызовет ошибку, так как `x` не передан в функцию явно, а доступ к глобальным переменным внутри функции запрещён","False"
"52","13","Интерпретатор выведет `10.0`, автоматически преобразовав целое значение в float при выводе глобальной переменной","False"
"53","14","В начале функции `complex_mutation`, `data` ссылается на тот же объект, что и `original_data`. Строка `data[0]['nested_list'].append(4)` модифицирует вложенный список, и это изменение отражается в `original_data`. Строка `data[1] = 'changed'` изменяет второй элемент `original_data`. Затем, `data = copy.deepcopy(data)` создаёт совершенно новую, независимую копию `data` и переприсваивает локальную переменную `data` на эту копию. Последующее изменение `data[0]['nested_list'].append(5)` происходит уже с этой новой копией, не влияя на `original_data`. Таким образом, конечный результат будет `[{'nested_list': [1, 2, 3, 4]}, 'changed']`","True"
"54","14","Результатом будет `[{'nested_list': [1, 2, 3, 4, 5]}, 'initial_string']`, потому что в Python передача изменяемых объектов всегда происходит по ссылке. Операции `append` и присваивание `data[1]` напрямую модифицируют `original_data`. Вызов `copy.deepcopy(data)` лишь создаёт временную копию, но дальнейшие изменения через `data[0]['nested_list'].append(5)` всё равно затрагивают исходный объект, так как `data` после `deepcopy` всё ещё указывает на тот же базовый объект в памяти, а не на его полную независимую копию, как ожидается","False"
"55","14","Код вызовет ошибку `TypeError` или `AttributeError`, так как попытка глубокого копирования объекта, который уже был частично изменён, может привести к некорректному состоянию памяти или невозможности создания полной независимой копии. Модуль `copy` имеет определённые ограничения и может не всегда корректно обрабатывать сложные структуры данных, особенно после их частичной мутации, что приводит к непредсказуемому поведению или сбоям программы при попытке глубокой копии","False"
"56","14","Будет выведено `[{'nested_list': [1, 2, 3]}, 'initial_string']`, так как `copy.deepcopy(data)` создаёт полную независимую копию объекта на входе в функцию, и все последующие изменения внутри функции происходят уже с этой копией, не затрагивая `original_data`. Хотя первые операции (`append` и присваивание `data[1]`) изменяют локальную переменную `data`, глубокая копия гарантирует, что эти изменения не выйдут за пределы функции, восстанавливая исходное состояние `original_data`","False"
"57","15","Вывод будет [1, 2, 3, 4], потому что списки в Python являются изменяемыми объектами. Когда вы передаёте список в функцию, фактически передаётся ссылка на этот объект. Любые изменения, сделанные внутри функции с этим объектом, будут отражаться на исходном списке за пределами функции","True"
"58","15","Вывод будет [1, 2, 3], так как Python передаёт аргументы по значению, и функция оперирует с копией списка. Изменения внутри функции не влияют на исходный список. Для изменения исходного списка нужно было бы вернуть изменённый список из функции и присвоить его","False"
"59","15","Будет ошибка типа (TypeError), потому что функция modify_list не возвращает никакого значения. Чтобы изменить список, функция должна явно вернуть новый список и присвоить его переменной my_list. Python не позволяет изменять объекты, переданные в функцию, без явного возврата","False"
"60","15","Вывод будет [1, 2, 3, 4], но это происходит только потому, что append является специальным методом, который изменяет объект на месте. Для других операций, таких как присваивание нового списка переменной внутри функции, исходный список не изменится, если его не вернуть из функции","False"
"61","16","Программа выведет 0 5 6 по порядку: первый next запускает генератор и отдаёт начальное значение 0, send(5) передаёт 5 внутрь и сразу получает его назад через yield, одновременно внутри генератора счётчик обновляется до 5, затем прибавляется единица, поэтому следующий next возвращает 6","True"
"62","16","Результатом будет 0 1 2, так как генератор каждый раз просто увеличивает переменную count независимо от передаваемых значений и выдаёт последовательные целые числа","False"
"63","16","После вызова next(c) генератор завершается, поэтому последующие обращения к send или next вызовут StopIteration и ничего не напечатают","False"
"64","16","Вызов c.send(5) приведёт к ошибке TypeError, потому что метод send запрещено применять ко второй итерации генератора, из-за чего программа не выполнится до конца","False"
"65","17","Вывод будет [30, 40, 50], так как цикл 'for' перебирает каждый элемент в списке 'numbers', а условный оператор 'if number > 25' отфильтровывает только те числа, которые строго больше 25. Эти числа затем добавляются в новый список 'filtered_numbers'","True"
"66","17","Вывод будет [10, 20, 30, 40, 50], потому что условие 'if number > 25' не выполняется для всех чисел, и поэтому все элементы списка 'numbers' добавляются в 'filtered_numbers'. Чтобы отфильтровать элементы, нужно было бы использовать функцию filter()","False"
"67","17","Вывод будет [10, 20], потому что цикл прекращается, как только встречается число, которое не удовлетворяет условию. Цикл 'for' в Python работает по принципу ""первого несоответствия"", и после 20 он перестает добавлять элементы","False"
"68","17","Будет ошибка, потому что нельзя использовать 'append' внутри цикла 'for' без предварительной инициализации списка внутри самого цикла. Список 'filtered_numbers' должен быть инициализирован в каждой итерации цикла, чтобы избежать такой ошибки","False"
"69","18","Программа выведет последовательно start A, start B, greet, end B, end A потому что декораторы применяются снизу вверх: сначала создаётся функция inner для тега 'B', затем она оборачивается декоратором 'A'; при вызове greet() внешний декоратор 'A' печатает start A, затем вызывает внутренний inner тега 'B', который выводит start B, выполняет исходный greet() и выводит end B, после возврата управление возвращается наружу и печатается end A","True"
"70","18","Вывод будет start B, start A, greet, end A, end B поскольку порядок работы декораторов совпадает с порядком их расположения сверху вниз и каждый внутренний декоратор завершает работу раньше внешнего","False"
"71","18","Код напечатает только greet, так как print внутри декоратора выполняется в момент объявления функции, а не при её вызове, поэтому строки start и end выводятся во время импорта модуля и не попадают в консоль при запуске greet()","False"
"72","18","Выполнение завершится TypeError: функция decorator возвращает объект, который не является вызываемым, поэтому применение двух декораторов последовательно приведёт к ошибке ещё до вызова greet()","False"
"73","19","Вывод будет ""World"", поскольку индексация строк в Python начинается с 0. Срез [7:12] означает, что мы берём символы, начиная с индекса 7 (включительно) и до индекса 12 (не включительно). Символ с индексом 7 — это 'W', а символ с индексом 11 — это 'd'","True"
"74","19","Вывод будет ""World!"", потому что при использовании срезов второй индекс всегда включает последний символ. Срез [7:12] включает символы от индекса 7 до индекса 12, включая оба крайних значения. В результате будут включены 'W', 'o', 'r', 'l', 'd', '!'","False"
"75","19","Вывод будет ""o, Wo"", так как срез [7:12] воспринимается как срез по символам, а не по словам. Таким образом, он начинается с 7-го символа и берёт 5 следующих символов. 'o' является 7-м символом, затем ' ', 'W', 'o', ','","False"
"76","19","Произойдёт ошибка IndexError, потому что строка имеет длину 13 символов (индексы от 0 до 12). Попытка доступа к индексу 12 в срезе [7:12] приведет к выходу за границы строки, так как последний индекс должен быть меньше длины строки","False"
"77","20","Напечатается:
Hello, Alice!
Hi, Bob!
Потому что первая функция вызывается только с одним аргументом, и используется значение по умолчанию для greeting. Во втором вызове передаются оба аргумента, и значение по умолчанию для greeting переопределяется на 'Hi'","True"
"78","20","Напечатается:
Hello, Alice!
Hello, Bob!
Поскольку значение по умолчанию для аргумента greeting всегда используется, и оно не может быть изменено при вызове функции. Чтобы изменить приветствие, нужно было бы определить новую функцию","False"
"79","20","Напечатается:
Alice!
Bob!
Так как аргумент greeting является необязательным, и функция print по умолчанию выведет только имя. Для того чтобы вывести приветствие, нужно было бы явно указать greeting в вызове функции как позиционный аргумент","False"
"80","20","Будет ошибка, потому что аргумент с значением по умолчанию должен быть указан перед всеми обязательными аргументами. В данном случае 'greeting' стоит после 'name', что является синтаксической ошибкой в Python. Правильный порядок - (greeting=""Hello"", name)","False"
"81","21","6 7, потому что inner замыкает переменную x из функции outer; первый вызов увеличивает x до 6, второй до 7, и каждый раз возвращается текущее значение","True"
"82","21","5 5, так как переменная x якобы создаётся заново при каждом вызове inner и сохраняет исходное значение без изменений, поэтому оба вывода показывают одно и то же число","False"
"83","21","6 6, поскольку nonlocal лишь копирует значение x в локальную область inner, и после первого инкремента последующие операции выполняются над копией, не изменяя оригинал","False"
"84","21","Возникнет SyntaxError, потому что использование nonlocal в функции inner без предварительного объявления переменной x во внешней области видимости нарушает правила синтаксиса Python","False"
"85","22","3, потому что len возвращает количество элементов списка и в x их три","True"
"86","22","Ошибка TypeError, поскольку len якобы предназначен исключительно для строк и при применении к списку вызывает исключение из-за несоответствия типа ожидаемому интерфейсу","False"
"87","22","1, так как интерпретатор рассматривает список как единый объект без учёта его внутренней структуры и сообщает его длину как одну позицию независимо от числа элементов","False"
"88","22","None, потому что print без явного возврата функции len выводит стандартное значение None, а сама длина списка остаётся только во внутренней переменной, не передаваясь наружу","False"
"89","23","3, потому что // выполняет целочисленное деление (floor division) и возвращает наибольшее целое, не превосходящее результата 7 / 2","True"
"90","23","2, так как многие путают оператор // с округлением вниз, однако он якобы усредняет результат и отбрасывает остаток, что приводит к заниженной величине","False"
"91","23","2.5, потому что оператор // иногда принимают за обычное деление, которое сохраняет дробную часть, а преобразование типов происходит только при необходимости","False"
"92","23","Возникнет ValueError, так как Python при вычислении целочисленного деления требует, чтобы оба операнда имели совместимые размеры в памяти, иначе выдаёт исключение","False"
"93","24","10, потому что ints неизменяемы и переопределение x создаёт новый объект, поэтому y сохраняет исходное значение","True"
"94","24","5, так как изменение x автоматически отражается на y благодаря тому что обе переменные указывают на один и тот же объект после присваивания, поэтому вывод совпадает с новым значением","False"
"95","24","Произойдёт ошибка NameError, потому что после изменения x переменная y утратит ссылку на предыдущий объект, и обращение к ней вызовет исключение во время выполнения","False"
"96","24","None, поскольку функция print без передачи корректного объекта выводит значение по умолчанию None, а переменная y в момент вызова считается неинициализированной и не влияет на результат","False"
"97","25","5, потому что time.sleep блокирует поток и удерживает event loop; каждая корутина выполняется последовательно, поэтому суммарная задержка составляет примерно пять секунд","True"
"98","25","1, так как asyncio.gather запускает корутины конкурентно, а sleep предполагается не блокирующей в асинхронном контексте, поэтому все пять задержек перекрываются и общее время равно одной секунде","False"
"99","25","0, поскольку вызов time.sleep внутри корутины, будучи частично реализованным в C, якобы моментально освобождает управление благодаря GIL, и loop фиксирует почти нулевую разницу во времени","False"
"100","25","Программа поднимет RuntimeError: использование синхронной функции time.sleep внутри асинхронной корутины нарушает контракт event loop, что якобы приводит к аварийному завершению до вычисления разницы времени","False"
"101","26","True, потому что loop.run_in_executor с параметром None создаёт ThreadPoolExecutor и обе CPU-bound функции делят один GIL; они выполняются фактически последовательно, время удваивается, условие >= 2 становится истинным","True"
"102","26","False, ведь run_in_executor передаёт вычисления в отдельные системные потоки, каждый из которых параллельно выполняется на своём ядре, поэтому обе тяжёлые функции завершаются практически одновременно и суммарная длительность оказывается близка к одному проходу, делая условие ложным","False"
"103","26","Программа выведет None, потому что print получает объект coroutine, не числовое выражение, а преобразование к строке для None происходит автоматически, поскольку внутри gather используется непрямой вызов и возврат значения не попадает во внешнюю область, где фиксируется время","False"
"104","26","Выполнится RuntimeError, поскольку размещение блокирующей чисто вычислительной функции внутри потока, управляемого event loop, нарушает модель асинхронного ввода-вывода Python, и asyncio обнаруживает попытку блокировки, прекращая работу ещё до вывода результата в консоль","False"
"105","27","[2, 2, 2], так как каждая лямбда замыкает переменную i по ссылке, и к моменту вызова всех функций цикл уже завершён, поэтому i содержит итоговое значение 2","True"
"106","27","[0, 1, 2], потому что широко распространённое мнение гласит, будто каждая лямбда запоминает текущее значение переменной i при своей генерации, формируя независимые копии для каждого индекса последовательности","False"
"107","27","Ошибка UnboundLocalError, поскольку при попытке обращения к i внутри создаваемых функций интерпретатор определяет её как локальную переменную, которую нельзя использовать до присваивания, из-за чего выполнение прерывается до формирования списка результатов","False"
"108","27","Будет выведено три отдельных объекта функции, ведь list comprehension возвращает список самих лямбда-выражений, а не значения, и без дополнительного вызова они отображаются в консоли как ссылки на их адреса в памяти","False"
"109","28","(3, ['a', 'b']), потому что *args собирает все позиционные аргументы в кортеж длиной три, а **kwargs формирует словарь из именованных аргументов; функция возвращает их количество и отсортированный список ключей","True"
"110","28","('args', 'kwargs'), так как интерпретатор якобы конвертирует все полученные значения в строковые представления имён коллекций по умолчанию, возвращая кортеж названий вместо фактических данных","False"
"111","28","(5, ['a', 'b', 'c']), потому что подсчёт производится по сумме позиционных и именованных аргументов с последующим дополнением списка фиктивным ключом 'c', добавляемым для выравнивания длины структур данных","False"
"112","28","Ошибка TypeError, поскольку одновременное использование *args и **kwargs совместно с позиционными и именованными параметрами ранее считалось противоречием сигнатуре функции и приводило к исключению ещё при её вызове","False"
"113","29","[[1, 2, 99], [3, 4, 88]]
[[1, 2, 99], [3, 4, 88], [5]]
[[1, 2], [3, 4]] 
- поверхностная копия делит вложенные списки с оригиналом, поэтому изменения в общих внутренних структурах видны и там; глубокая копия полностью независима и остаётся без изменений","True"
"114","29","[[1, 2, 99], [3, 4]]
[[1, 2, 99], [3, 4], [5]]
[[1, 2, 99], [3, 4]] 
- утверждается, что метод deepcopy якобы копирует только верхний уровень, из-за чего вложенные списки продолжают ссылаться на оригинал и наследуют изменения так же, как и shallow, но это неверно","False"
"115","29","[[1, 2], [3, 4, 88]]
[[1, 2], [3, 4, 88], [5]]
[[1, 2, 99], [3, 4]] 
- здесь считается, будто добавление элементов меняет ссылки таким образом, что лишь некоторые вложенные структуры остаются общими, создавая путаницу в итоговых данных","False"
"116","29","Произойдёт TypeError list indices must be integers or slices, потому что при обращении shallow[1].append(88) интерпретатор якобы обнаруживает несогласованность типов и останавливает выполнение до вывода каких-либо результатов","False"
"117","30","12
3 4 5.0
RightTriangle [3, 4, 5.0]
RightTriangle [3, 4, 5.0] 
- dunder-методы __len__, __getitem__ и __repr__ определяют, как объект ведёт себя при вызове len, индексации и печати; попытка изменить закрытое поле через rt.__abc создаёт новое обычное атрибут, не затрагивая защищённый _RightTriangle__abc","True"
"118","30","12
3 4 5.0
RightTriangle [3, 4, 5.0]
RightTriangle [0, 1, 2] 
- прямое присваивание rt.__abc меняет то же самое поле, ведь интерпретатор считает двойное подчёркивание признаком приватности только внутри класса, а снаружи обращается к той же переменной без оговорок, из-за чего repr выводит новые значения","False"
"119","30","Ошибка AttributeError: 'RightTriangle' object has no attribute '__abc' 
- модификация закрытого поля через rt.__abc недопустима, поэтому выполнение прерывается до вывода последних строк, ведь интерпретатор блокирует доступ к мантрированным атрибутам вне тела класса","False"
"120","30","12
3 4 5.0
RightTriangle [3, 4, 5.0]
RightTriangle [3, 4, 5.0]
None 
- после попытки присвоения нового списка Python будто бы возвращает специальное значение None, отображаемое как дополнительная строка вывода, так как операция присваивания интерпретируется как выражение с собственным выводом результата","False"
"121","31","Код выведет [1, 2, 3, 0] [42] поскольку аргумент lst передаётся по ссылке: метод append изменяет исходный список, а переназначение lst = [42] создаёт новую локальную переменную и не влияет на внешний объект","True"
"122","31","Будет напечатано [1, 2, 3, 0] [1, 2, 3, 0] так как Python передает объекты по ссылке и любое изменение отражается одновременно и на исходном списке, и на возвращаемом значении, поэтому оба они содержат одинаковые данные после выполнения функции","False"
"123","31","Получим [1, 2, 3] [42] потому что append внутри функции вызывается для копии списка, создаваемой при передаче аргумента, в то время как внешний список остаётся неизменным, а возвращается совершенно новый объект с одиночным элементом 42","False"
"124","31","Вывод будет [1, 2, 3] [1, 2, 3, 0] поскольку присваивание lst = [42] изменяет ссылку как внутри функции, так и снаружи, тем самым превращая nums в новый список, тогда как append выполненный до переназначения затрагивает лишь возвращаемое значение","False"
"125","32","Python ищет идентификатор последовательно в четырех пространствах имён: сначала в локальном (L) текущей функции, затем в замыкающем (E) любых внешних функций, после этого в глобальном модуле (G) и, наконец, в встроенном пространстве имён (B); поиск останавливается на первом совпадении, что позволяет изолировать локальные переменные и одновременно обращаться к глобальным объектам без явного импорта","True"
"126","32","Алгоритм LEGB начинает с глобального пространства модуля, переходит к локальному текущей функции, затем проверяет встроенные имена, а после этого замыкающие функции, что гарантирует доступ к общим переменным перед учётом локальных значений","False"
"127","32","При разрешении имени Python сначала рассматривает локальное пространство функции, далее сразу обращается к встроенным объектам, затем к глобальным переменным модуля и уже в конце к замыкающим областям, обеспечивая тем самым приоритет стандартных функций над пользовательскими","False"
"128","32","Механизм LEGB подразумевает только два уровня: локальный для переменных внутри функции и глобальный для всего остального кода, а встроенные функции всегда доступны напрямую, потому что находятся в том же глобальном пространстве и не требуют отдельного шага поиска","False"
"129","33","Ранг матрицы - это максимальное количество линейно независимых строк или столбцов матрицы","True"
"130","33","Ранг матрицы - это количество всех ненулевых элементов матрицы","False"
"131","33","Ранг матрицы - это сумма элементов на главной диагонали","False"
"132","33","Ранг матрицы - это число столбцов матрицы, в которых отсутствуют нулевые элементы","False"
"133","34","Обратимая матрица - это квадратная матрица, для которой существует такая матрица A^(-1), что выполняется равенство A*A^(-1) = A^(-1)*A = E","True"
"134","34","Обратимая матрица - это матрица любого размера, у которой определитель равен нулю и выполняется равенство A*A^(-1) = A^(-1)*A = E","False"
"135","34","Обратимая матрица - это прямоугольная матрица, у которой количество строк больше количества столбцов","False"
"136","34","Обратимая матрица - это квадратная матрица, у которой все элементы положительные и выполняется равенство A*A^T = A^(T)*A = E","False"
"137","35","Скалярное произведение двух векторов a и b в R^n определяется как сумма попарных произведений их координат: a·b = a1*b1 + a2*b2 + ... + an*bn, и эквивалентно выражению |a||b|cosθ, где θ - угол между векторами","True"
"138","35","Скалярное произведение векторов определяется как матрица, составленная из всех попарных произведений координат двух векторов, и результатом всегда является квадратная матрица","False"
"139","35","Скалярное произведение векторов a и b в R^n вычисляется как разность длин векторов |a| - |b|, что позволяет измерить расстояние между ними","False"
"140","35","Скалярное произведение векторов a и b в R^n вычисляется как произведение их длин |a|*|b| и отражает масштаб векторов","False"
"141","36","Векторное произведение двух векторов a и b в R^3 определяется как вектор, перпендикулярный обоим, с координатами (a_y*b_z - a_z*b_y, a_z*b_x - a_x*b_z, a_x*b_y - a_y*b_x), и его длина равна |a||b|sinθ, где θ - угол между векторами","True"
"142","36","Векторное произведение векторов в R^3 определяется как сумма попарных произведений их координат: a·b = a1*b1 + a2*b2 + ... + an*bn, и эквивалентно выражению |a||b|cosθ, где θ - угол между векторами","False"
"143","36","Векторное произведение векторов a и b в R^3 всегда дает матрицу 3x3, составленную из их координат, которая отражает геометрическую ориентацию в пространстве","False"
"144","36","Векторное произведение векторов a и b в R^3 вычисляется как (a_x*b_x, a_y*b_y, a_z*b_z), что отражает попарное произведение координат и используется для нахождения длины результирующего вектора","False"
"145","37","Градиент функции - это вектор, составленный из её частных производных по всем аргументам, который указывает направление наискорейшего возрастания значения функции","True"
"146","37","Градиент функции - это скалярная величина, равная сумме всех её частных производных, и используется для нахождения локальных экстремумов","False"
"147","37","Градиент функции - это матрица Гессе, то есть матрица вторых производных, которая отражает кривизну поверхности функции","False"
"148","37","Градиент функции - это вектор, составленный из первых и вторых производных одновременно, который характеризует направление роста","False"
"153","39","Производная функции f(x) в точке x0 определяется как предел отношения f'(x0) = lim(Δx→0) Δf/Δx, где Δf = f(x0+Δx) - f(x0), и она характеризует скорость изменения функции; основные свойства включают линейность ((c·f)' = c·f'), правило суммы ((f+g)' = f' + g') и правило произведения ((fg)' = f'g + fg')","True"
"154","39","Производная функции f(x) определяется как предел отношения lim(x→0)  Δf/Δx, где где Δf = f(x+Δx) - f(x); основные свойства включают линейность ((c·f)' = c·f'), правило суммы ((f+g)' = f' + g') и правило произведения ((fg)' = f'g + fg')","False"
"155","39","Производная функции f(x) определяется как отношение конечных приращений функции и аргумента без предельного перехода, и свойства включают линейность ((c·f)' = c·f'), правило суммы ((f+g)' = f' + g') и правило произведения ((fg)' = f'g + fg')","False"
"156","39","Производная функции f(x) в точке определяется как предел f'(x0) = lim(Δx→0) Δx/Δf, где Δf = f(x0+Δx) - f(x0) приращения аргумента Δx к приращению функции Δf при стремлении аргумента к нулю, а свойства включают линейность ((c·f)' = c·f'), правило суммы ((f+g)' = f' + g') и правило произведения ((fg)' = f'g + fg')","False"
"157","40","∇f(x,y) = (y·x^(y-1) + y^x·ln(y), x^y·ln(x) + x·y^(x-1))","True"
"158","40","∇f(x,y) = (y·x^(y-1) + y^x, x^y + x·y^(x-1))","False"
"159","40","∇f(x,y) = (x^(y-1) + y^x·ln(x), y^(x-1) + x^y·ln(y))","False"
"160","40","∇f(x,y) = (y·x^(y-1) - y^x·ln(y), x^y·ln(x) - x·y^(x-1))","False"
"161","41","Детерминант квадратной матрицы - это число, которое отражает её свойства: det(A) = 0 означает отсутствие обратной матрицы и единственного решения системы линейных уравнений, также выполняются свойства det(A) = det(A^T), det(AB) = det(A)·det(B), det(A^(-1)) = 1/det(A) для обратимой A","True"
"162","41","Детерминант квадратной матрицы - это вектор, составленный из элементов диагонали, и он определяет существование обратной матрицы и симметрию системы уравнений, также выполняются свойства det(A) = det(A^T), det(AB) = det(A)·det(B), det(A^(-1)) = 1/det(A) для обратимой A","False"
